N_z,M_mid,E_exact,E_FFCT,abs_error,relative_error
3,13,0.8322927794714697,0.7914393331513779,0.0408534463200918,0.0001394110476173894
6,13,0.8322927794714697,0.8325916769166266,0.000298897445156876,1.0199777427097523e-6
9,13,0.8322927794714697,0.832291257877926,1.5215935437185024e-6,5.192388135767336e-9
12,13,0.8322927794714697,0.8322927812856431,1.814173367087335e-9,6.190807201027435e-12
15,13,0.8322927794714697,0.832292779503871,3.240130386217288e-11,1.105683882873149e-13
18,13,0.8322927794714697,0.8322927794710785,3.9124259387790516e-13,1.3351025384176453e-15
21,13,0.8322927794714697,0.8322927794715185,4.873879078104437e-14,1.6631952734544447e-16
24,13,0.8322927794714697,0.8322927794715168,4.707345624410664e-14,1.6063662777783247e-16
27,13,0.8322927794714697,0.8322927794715204,5.062616992290714e-14,1.7276014685540474e-16
30,13,0.8322927794714697,0.8322927794715145,4.474198789239381e-14,1.5268056838317568e-16
33,13,0.8322927794714697,0.8322927794715175,4.773959005888173e-14,1.6290978760487727e-16
36,13,0.8322927794714697,0.8322927794715249,5.517808432387028e-14,1.8829340567354418e-16
39,13,0.8322927794714697,0.8322927794715197,4.9960036108132044e-14,1.7048698702835992e-16
42,13,0.8322927794714697,0.8322927794715248,5.5067062021407764e-14,1.8791454570237005e-16
45,13,0.8322927794714697,0.8322927794715181,4.8405723873656825e-14,1.6518294743192206e-16
48,13,0.8322927794714697,0.8322927794715184,4.8627768478581856e-14,1.6594066737427033e-16
51,13,0.8322927794714697,0.8322927794715153,4.551914400963142e-14,1.553325881813946e-16
54,13,0.8322927794714697,0.8322927794715209,5.1181281435219717e-14,1.746544467112754e-16
57,13,0.8322927794714697,0.8322927794715121,4.241051954068098e-14,1.4472450898851886e-16
60,13,0.8322927794714697,0.8322927794715295,5.972999872483342e-14,2.0382666449168366e-16
3,14,0.27355690728851517,0.264809874746301,0.00874703254221415,2.98489620850849e-5
6,14,0.27355690728851517,0.27362280876054407,6.590147202889529e-5,2.24886615026111e-7
